COMMENTS: Created on the 05/12/05
COMMENTS: Axes are: Energy and Angle
COMMENTS: PDFs are: Cut Value and TKR Plane (3x16)
COMMENTS: Parameters are: CAL Last Layer Coefficient(1), Log Normal Parameters(4)
COMMENTS: Log Normal Parameters are: Norm, MPV, Width, Tail
#PDFs: 32 #Parameters: 5
AXES:
2
0.309723 0.993906 134.823 21.0771 -0.443414 
0.627366 0.982566 138.919 20.3112 -0.44055 
0.289257 0.972741 141.706 18.5559 -0.485769 
2.11404e-10 0.96143 142.641 17.4174 -0.47014 
2.84463e-10 0.959937 142.651 17.9418 -0.482478 
1.25231 0.968763 223.463 26.128 -0.406105 
4.25155e-10 0.981939 221.941 24.1203 -0.490699 
3.77191e-10 0.972316 224.782 23.4043 -0.484381 
0.0727425 0.953864 226.601 22.0766 -0.442572 
0.0944464 0.951847 226.561 22.7932 -0.475301 
0.412168 0.982237 391.512 33.2669 -0.441716 
0.545053 0.976618 395.68 33.0855 -0.440881 
0.467294 0.969803 397.612 32.2344 -0.464349 
0.53143 0.953896 398.612 32.1256 -0.397821 
0.589183 0.947979 398.267 33.5782 -0.421569 
0.547721 0.985821 735.546 49.3125 -0.393898 
0.629161 0.978594 737.275 50.5312 -0.403133 
0.724632 0.976053 740.371 51.9154 -0.430474 
0.739798 0.959864 739.562 51.4485 -0.404263 
0.879386 0.957613 740.274 55.4358 -0.414236 
0.671143 0.974791 822.64 52.9544 -0.364916 
0.664381 0.980726 823.202 54.5559 -0.402709 
0.747513 0.971763 825.215 56.7253 -0.410037 
0.826251 0.95941 825.656 57.2314 -0.378853 
0.850127 0.964662 822.896 59.8792 -0.437547 
0.780661 0.975961 1685.67 89.9603 -0.378599 
1.01483 0.978465 1689.69 99.4443 -0.358692 
1.06169 0.979449 1678.22 107.636 -0.377499 
1.36118 0.971689 1701.89 110.486 -0.379465 
1.51474 0.973209 1700.31 119.752 -0.365738 
0.892536 0.975853 2550.34 129.835 -0.388044 
1.07858 0.974846 2541.12 141.695 -0.362892 
1.32025 0.977298 2547.8 154.599 -0.39375 
1.75737 0.970838 2600.17 167.814 -0.349142 
1.77076 0.973607 2580 179.173 -0.370092 
1.43713 0.971858 4375.95 210.735 -0.416477 
1.62908 0.965744 4371.72 231.416 -0.399867 
1.9298 0.970472 4391.52 266.742 -0.380705 
2.28899 0.969286 4467.28 287.449 -0.358535 
2.25303 0.9748 4408.68 305.547 -0.353373 
2.22931 0.958764 8268.16 396.141 -0.425004 
2.42441 0.957114 8265.67 445.007 -0.394315 
2.69073 0.968752 8296.41 506.935 -0.424414 
2.84525 0.960604 8260.28 536.535 -0.3197 
3.14656 0.967792 8392.21 588.714 -0.346979 
1.92765 0.962631 8998.19 435.936 -0.459622 
2.44696 0.952081 9183.42 488.309 -0.384875 
2.77216 0.963136 9256.62 565.321 -0.417476 
3.1606 0.963387 9435.43 610.317 -0.388043 
3.36766 0.97435 9471.95 671.406 -0.338802 
3.49004 0.940063 20146.5 1016.69 -0.501126 
3.84777 0.921061 20361.7 1137.24 -0.357308 
4.07776 0.952832 20380.5 1271.95 -0.457997 
