COMMENTS: Created on the 05/12/05
COMMENTS: Axes are: Energy and Angle
COMMENTS: PDFs are: Cut Value and TKR Plane (3x16)
COMMENTS: Parameters are: TKR Hits Coefficient(1), Log Normal Parameters(4)
COMMENTS: Log Normal Parameters are: Norm, MPV, Width, Tail
#PDFs: 48 #Parameters: 5
AXES:
2
1.5146 0.948034 320.319 37.7876 -0.36349
1.65908 0.933727 327.704 40.6383 -0.295846
1.8199 0.9336 341.329 42.6651 -0.330436
1.42479 0.927316 318.183 37.7226 -0.440833
1.40655 0.893866 322.231 33.9295 -0.496694
1.62681 0.948665 493.238 54.8609 -0.413614
2.003 0.930829 516.689 61.7305 -0.297929
2.22465 0.938497 536.96 64.8462 -0.347717
1.33558 0.904068 476.764 44.9734 -0.459431
1.47895 0.901514 493.223 44.21 -0.488072
2.29749 0.960252 871.212 100.439 -0.442317
2.68762 0.9498 895.169 105.96 -0.394898
2.34412 0.921781 871.103 92.8158 -0.423969
1.20233 0.913081 788.909 66.4665 -0.464897
1.3765 0.925566 807.411 65.2197 -0.488614
3.34183 0.931852 1045.05 124.861 -0.282563
2.83914 0.942274 989.408 118.438 -0.410658
2.35574 0.906573 951.528 99.8779 -0.443555
1.50038 0.901179 883.639 76.2357 -0.377659
1.52886 0.926725 895.172 74.8968 -0.403012
5.45537 0.937011 2021.38 267.348 -0.339909
4.49202 0.963208 1932.09 243.763 -0.524382
3.09927 0.911336 1797.14 175.663 -0.529572
1.10117 0.925363 1617.16 138.397 -0.445523
1.30314 0.958339 1636.93 131.346 -0.472844
5.37797 0.964886 2757.85 414.01 -0.440084
5.00145 0.955814 2736.93 361.953 -0.598252
5.02919 0.910741 2728.02 286.231 -0.537695
1.37495 0.932666 2358.45 201.415 -0.44159
1.79696 0.963041 2399.93 201.631 -0.389835
PDF: Cut Value 0 and TKR Plane 7
1.36293 0.907413 105.645 14.3824 0.116902
0.957377 0.933249 78.9623 10.8874 -0.0514556
1.18159 0.941632 92.7494 13.0246 0.0672953
1.21455 0.929993 94.3081 13.7067 0.047115
1.11464 0.931663 88.7725 12.3541 -0.00112971
1.20366 0.932464 102.488 14.3765 0.0357308
1.10793 0.936808 95.3297 13.9101 0.0545022
1.27536 0.935362 106.056 15.4208 0.0203195
1.30981 0.929651 109.852 15.5437 -0.0680808
1.25066 0.945815 105.919 14.8196 -0.0500316
1.41071 0.927849 150.825 20.956 -0.0572165
1.39191 0.934391 148.824 21.4889 -0.106694
1.45957 0.928612 150.939 21.6188 -0.0836474
1.76884 0.943747 174.56 25.7181 -0.12709
1.81417 0.931908 179.775 25.6536 -0.155651
1.22923 0.958944 218.162 28.3721 -0.282613
1.42258 0.950948 232.958 30.8155 -0.260375
1.89513 0.955342 268.004 37.4247 -0.232215
1.76067 0.973798 261.561 37.331 -0.378578
1.63567 0.945759 257.521 33.115 -0.454158
1.57396 0.932302 329.539 40.2101 -0.265077
1.64809 0.929057 331.887 40.9984 -0.25045
1.8558 0.946287 347.91 44.9918 -0.291724
1.33382 0.950565 313.812 38.3114 -0.475327
1.60281 0.908458 341.786 37.3618 -0.489963
1.5787 0.934455 490.179 54.5455 -0.356166
1.83313 0.941948 508.705 60.9979 -0.331364
1.88635 0.927823 514.63 59.4973 -0.34743
1.05064 0.938471 455.689 47.0619 -0.540414
1.38904 0.882195 491.035 45.2134 -0.486499
2.32841 0.94914 886.204 97.0787 -0.430262
2.70901 0.932756 910.57 108.97 -0.344921
2.00941 0.928649 849.311 88.337 -0.477762
1.41184 0.907437 804.643 70.6217 -0.453281
1.74061 0.909973 839.864 71.0831 -0.402964
2.0448 0.909592 927.204 100.875 -0.340824
2.96384 0.8967 1013.47 110.322 -0.321104
1.95366 0.917291 924.459 94.8673 -0.457676
1.09222 0.925683 853.229 74.856 -0.464878
1.16278 0.90843 863.779 72.2328 -0.441892
5.18988 0.938791 2031.2 278.907 -0.355608
3.39002 0.962851 1858.13 223.166 -0.567108
2.76014 0.919124 1765.09 184.063 -0.486344
0.886488 0.93463 1595.25 137.836 -0.456077
2.0874 0.945142 1709.86 143.768 -0.363995
5.69937 0.975893 2826.15 440.687 -0.412742
5.44871 0.977574 2821.81 392.842 -0.530197
3.62279 0.919741 2619.69 271.521 -0.563386
1.5679 0.951543 2379.91 215.814 -0.446838
3.20078 0.952614 2545.6 217.547 -0.351348
PDF: Cut Value 0 and TKR Plane 8
1.70809 0.895389 134.62 18.9192 0.053257
0.975593 0.949951 81.6431 11.7935 0.0121696
1.07237 0.93785 88.1605 12.8647 0.0142765
1.07378 0.904343 88.9594 12.0756 -0.103902
1.05513 0.932471 87.7168 12.0919 -0.0557783
1.08587 0.932756 97.6945 13.8576 -0.0402222
1.10928 0.930686 99.5606 13.7093 -0.0473537
1.38012 0.910765 117.012 16.6424 0.0114112
1.29056 0.929434 110.979 15.8403 -0.0281052
1.22685 0.933619 106.405 14.9481 -0.0499119
1.1309 0.943939 131.654 19.0378 -0.0979686
1.40578 0.941403 152.527 21.4299 -0.0973767
1.52386 0.939213 158.487 23.5747 -0.021211
1.6136 0.962857 167.562 25.8354 -0.158127
1.78877 0.930294 181.955 25.7659 -0.121803
1.27105 0.951963 224.751 29.8811 -0.243979
1.51303 0.961 243.392 33.8923 -0.227706
1.77918 0.943051 262.52 35.7627 -0.25136
1.99904 0.956792 280.984 41.5021 -0.267975
1.61478 0.960335 261.096 34.92 -0.49039
1.77293 0.937005 352.357 42.936 -0.230649
1.5888 0.940722 332.837 41.3436 -0.319209
1.46733 0.940611 320.023 41.4169 -0.325772
1.38386 0.962263 320.959 42.2816 -0.498636
1.53003 0.899682 340.649 37.0608 -0.513914
1.80434 0.932825 518.592 58.356 -0.292237
2.04619 0.9346 539.672 61.5579 -0.355102
1.5751 0.93483 496.163 54.6527 -0.441639
1.37419 0.93668 480.381 52.1317 -0.441263
1.76564 0.891987 528.371 50.2708 -0.463734
2.05901 0.954238 867.502 95.0343 -0.436202
2.42006 0.947075 900.542 99.5349 -0.444203
2.5434 0.938936 900.894 103.877 -0.354585
1.44276 0.920475 807.427 75.3415 -0.409057
1.5678 0.906242 827.406 70.4896 -0.406746
1.99214 0.945323 931.508 106.529 -0.39995
2.4917 0.932634 980.292 112.507 -0.373613
1.87441 0.928926 930.149 91.4163 -0.557571
1.18596 0.921548 864.402 76.4138 -0.441125
2.0134 0.896247 946.478 82.0669 -0.287918
3.84646 0.954532 1906.41 247.808 -0.370818
3.7554 0.972679 1907.31 238.016 -0.547649
1.79562 0.944431 1692.34 175.82 -0.615335
0.982804 0.943785 1601.13 138.617 -0.478598
1.60448 0.926719 1666.31 138.1 -0.341831
5.01063 0.969076 2784.03 436.849 -0.405914
5.96056 0.941906 2893.09 403.302 -0.407933
1.27579 0.955995 2392.87 246.748 -0.668192
0.296422 0.962776 2264.32 204.066 -0.517452
0.962152 0.955667 2318.84 204.676 -0.386232
PDF: Cut Value 0 and TKR Plane 9
0.743793 0.941637 66.1042 9.56676 0.0521123
0.894421 0.93499 77.5807 11.2017 0.0336216
1.06712 0.936874 90.0892 13.302 0.0169612
1.35318 0.911226 110.798 15.0323 -0.00997511
1.01029 0.93208 86.8801 11.8762 -0.0728136
1.07943 0.937888 99.5629 14.6483 -0.00545284
0.893214 0.948792 85.0791 12.7373 -0.0408837
1.02038 0.938001 93.7649 13.9197 -0.0681275
1.12584 0.937596 102.406 14.9878 -0.0784296
1.22976 0.940527 110.436 15.5749 -0.0636139
1.30915 0.940986 150.872 21.4054 -0.0924683
1.21931 0.931054 141.039 19.7839 -0.0763836
1.44412 0.935947 159.308 22.737 -0.157091
1.7342 0.958754 181.355 27.9918 -0.157339
1.88191 0.936966 194.982 28.3702 -0.154113
1.54056 0.939486 253.677 32.7027 -0.174734
1.51222 0.958663 246.481 34.2815 -0.201548
1.89387 0.966722 278.141 39.5277 -0.234655
2.02891 0.969636 290.838 43.6244 -0.314224
1.67065 0.965648 269.022 37.3562 -0.450899
1.4481 0.941322 327.839 39.4524 -0.298676
1.69561 0.93241 345.618 44.0551 -0.245826
1.82723 0.945995 358.357 45.9831 -0.359728
1.23214 0.977313 309.944 40.5692 -0.566409
1.40258 0.908034 332.61 38.1345 -0.549228
1.65157 0.93531 509.918 56.8706 -0.31252
1.56978 0.947106 500.603 56.4391 -0.441758
2.25065 0.923544 559.974 67.7325 -0.289702
0.94672 0.936096 443.963 49.675 -0.513864
1.4887 0.876391 507.898 48.2357 -0.49541
1.73409 0.956074 839.592 90.703 -0.428831
2.41003 0.954526 902.545 106.285 -0.374644
